Time [d]	Qevap [W]	mdot [kg/s]
616	-168.619791647135	0.0134465543619792
617	-248.129340299479	0.0197870287109375
618	-299.930555533854	0.0239179071614583
619	-363.216145831185	0.0289646049479167
620	-509.596354168815	0.0406376555338542
621	-441.996527797331	0.0352469320963542
622	-569.144965343099	0.0453863609375
623	-1150.89843753516	0.0917781848307292
624	-778.051215240625	0.0620455268880208
625	-1287.79947910156	0.102695333398438
626	-1190.94184029753	0.0949714386067708
627	-1333.58506941667	0.106346496744792
628	-2658.26822921224	0.211983112239583
629	-4474.5008683138	0.356818251041667
630	-11847.3784728581	0.9447670234375
631	-7630.72916642578	0.608511097916667
632	-8548.05121532552	0.681662776367188
633	-8425.3993051237	0.671881922395833
634	-5231.80121523242	0.417209028255208
635	-3365.59027770814	0.268388379361979
636	-3668.01215279492	0.292504956445313
637	-2695.33420138672	0.214938931575521
638	-3100.65972219401	0.247261540755208
639	-1521.01128469616	0.121292753645833
640	-1395.23003474154	0.111262363216146
641	-1940.49479164538	0.154744401236979
642	-8403.7369792513	0.670154464192708
643	-15448.6414933138	1.23194908229167
644	-14454.3012161654	1.15265559934896
645	-10353.8628476563	0.825666893815104
646	-7893.16840255859	0.629439266601563
647	-11393.1684029036	0.908546124674479
648	-11632.9730899089	0.92766930546875
649	-10352.1310759701	0.825528793945312
650	-9304.44010334636	0.741980869661458
651	-9146.08940972005	0.729353222330729
652	-7414.44010457682	0.591263166276042
653	-7822.92534679036	0.623837746940104
654	-5344.45746557292	0.42619278046875
655	-8887.66059054037	0.708744863606771
656	-11538.0598967643	0.920100470247396
657	-14473.8975694466	1.15421830696615
658	-13009.609375306	1.03744891341146
659	-10254.0581594206	0.817707987239583
660	-7801.90104130859	0.622161167838542
661	-7245.51649330729	0.577792383854167
662	-8601.34114577474	0.685912372005208
663	-14546.3281247591	1.15999426842448
664	-17979.7005208789	1.4337879202474
665	-11605.3559027995	0.925466977929688
666	-12183.6154514063	0.971580179427083
667	-19660.0347218294	1.56778586302083
668	-19579.7960074219	1.56138724127604
669	-15716.5494778451	1.25331335559896
670	-14377.3437502474	1.14651864016927
671	-13142.317708138	1.04803171523438
672	-13989.0017363151	1.11555037766927
673	-12220.5295135352	0.974523884635417
674	-17633.3463539518	1.40616797070313
675	-17278.9713557292	1.37790840143229
676	-14085.6467011523	1.12325731263021
677	-15057.8689233724	1.2007869953776
678	-15680.5468758984	1.25044233450521
679	-12460.3342018229	0.993647065494792
680	-12203.5460071615	0.973169538020833
681	-17566.171874655	1.40081115436198
682	-18459.0364588086	1.47201247682292
683	-16941.2152780078	1.35097410507813
684	-12336.6796870052	0.983786258984375
685	-16915.846353737	1.34895106490885
686	-24318.9236105469	1.93930810292969
687	-24080.0911442708	1.92026245169271
688	-23103.4027777995	1.84237661705729
689	-27568.7586800781	2.19846560442708
690	-30142.109375651	2.40367698378906
691	-26942.981771224	2.14856313958333
692	-19183.5850696159	1.52979147265625
693	-20707.8776033203	1.6513459014974
694	-23460.9071174479	1.87088573502604
695	-27033.5199650391	2.15578309134115
696	-31337.0920134766	2.49897065501302
697	-31665.368925	2.52514903704427
698	-24473.3550349154	1.95162320859375
699	-19287.4001735677	1.53807018919271
700	-19037.1137165365	1.51811114160156
701	-19357.8862855859	1.54369109108073
702	-18273.5850696615	1.45722368971354
703	-17936.4973945508	1.43034269505208
704	-15736.7534717708	1.25492451940104
705	-13739.6874994141	1.09566885957031
706	-19200.9331623307	1.53117489309896
707	-28018.4722227214	2.23432792851563
708	-24858.6892364583	1.98235161373698
709	-26583.806425	2.11992076738281
710	-27682.7821180339	2.20755838268229
711	-30050.7812504557	2.3963940391276
712	-32383.4765622396	2.58241439902344
713	-31747.0052091797	2.53165910755208
714	-30643.2291662109	2.44363868938802
715	-35071.8836800781	2.79680093157552
716	-29926.9748267578	2.38652111848958
717	-25031.2586803385	1.99611313235677
718	-28232.1788190755	2.2513699218099
719	-32362.0269115234	2.58070390019531
720	-24973.7152777148	1.99152434433594
721	-15741.9184027799	1.25533639583333
722	-27588.3246532552	2.20002588938802
723	-26139.1970498047	2.08446547447917
724	-28438.1987854167	2.26779894596354
725	-32453.0512149089	2.58796261679688
726	-20955.9157981771	1.67112566184896
727	-26113.5850694661	2.08242305182292
728	-28231.2673602865	2.25129723789063
729	-29363.7239574219	2.34160478144531
730	-31241.6623278646	2.49136063216146
731	-25344.8914939453	2.02112372363281
732	-20985.2039938802	1.67346124342448
733	-23663.8585064648	1.88707005638021
734	-20371.7925351367	1.62454485917969
735	-15826.3802085938	1.26207178691406
736	-17829.7048615169	1.42182654394531
737	-23982.1701397982	1.91245375904948
738	-23989.0668389323	1.91300373522135
739	-26256.5624989583	2.09382476074219
740	-28540.5555552734	2.27596136829427
741	-31258.7369784505	2.49272224726563
742	-30089.6397556641	2.39949280351563
743	-33554.1840275391	2.67577225110677
744	-30514.7743061849	2.43339508007813
745	-28438.8368068815	2.2678498249349
746	-21577.4088541471	1.72068651152344
747	-22838.8671875	1.8212812750651
748	-23103.9800339844	1.84242265032552
749	-25172.8993044271	2.00740823808594
750	-23426.5451391276	1.86814554518229
751	-26590.2473962891	2.1204344015625
752	-30921.9835063151	2.4658679031901
753	-36357.1006953776	2.8992903266276
754	-36393.6501727865	2.90220495800781
755	-38232.851563151	3.04887173541667
756	-33574.6310764323	2.67740279720052
757	-33894.7048617188	2.70292702239583
758	-24496.4756946615	1.95346696132813
759	-18167.157118405	1.44873661217448
760	-16817.196179056	1.3410842249349
761	-22162.7473967448	1.76736422623698
762	-22337.3524311849	1.78128807265625
763	-20304.1927083529	1.6191541235026
764	-22660.2213534505	1.80703519557292
765	-24918.5720476563	1.98712695761719
766	-25121.6753470052	2.00332339296875
767	-25368.5286460286	2.02300866393229
768	-29902.1527781901	2.3845416889974
769	-30793.8020835286	2.45564609908854
770	-24725.3732652148	1.9717203561849
771	-21083.4592016016	1.68129658697917
772	-18525.6033003711	1.47732083736979
773	-18737.8211816471	1.49424411334635
774	-17756.5755203776	1.41599485807292
775	-14870.0781251953	1.18581165279948
776	-13067.1831595247	1.04204012421875
777	-20888.7717007161	1.66577126816406
778	-22704.4574651042	1.81056279628906
779	-19948.8758667969	1.59081944720052
780	-20539.1362845508	1.63788965592448
781	-20663.337673112	1.64779407285156
782	-21752.1354160156	1.73462004908854
783	-23672.4565974609	1.8877557093099
784	-28736.5190970052	2.29158844472656
785	-31097.4088548177	2.47985716542969
786	-20776.9661458333	1.6568553546224
787	-20273.4461809896	1.61670224726563
788	-21347.4175348958	1.70234589589844
789	-18123.1640612175	1.44522839414063
790	-19103.3767355664	1.52339527402344
791	-19478.8064231771	1.55333384550781
792	-22639.5920143229	1.80539011269531
793	-27803.6111107422	2.2171938686849
794	-22271.3324659505	1.77602332265625
795	-20271.1371516927	1.61651811419271
796	-20394.1840279948	1.62633046458333
797	-17013.0989576172	1.35670645585938
798	-19692.1180552083	1.57034434270833
799	-11103.5677082617	0.885451970377604
800	-10375.0390633659	0.827355587044271
801	-7927.80381971159	0.632201261588542
802	-7161.78385391276	0.571115140104167
803	-6681.65798611113	0.532827590559896
804	-6164.10156232422	0.491555148632812
805	-8795.23871527995	0.701374698242188
806	-8065.76822920573	0.643203208072917
807	-8209.59635383464	0.654672755664063
808	-9787.20920161458	0.780479202734375
809	-8468.0555560026	0.675283537109375
810	-7548.6675348763	0.601967108007813
811	-8048.38975705078	0.641817365039063
812	-9891.75347246094	0.788816066276042
813	-15656.2413192708	1.24850409264323
814	-14112.5651039063	1.12540391582031
815	-18128.3897570313	1.44564511621094
816	-20855.0173622396	1.6630795344401
817	-17173.6371538411	1.36950854492188
818	-12715.2387153451	1.01397437923177
819	-6314.85677039714	0.503577094856771
820	-5801.43229160593	0.462634153971354
821	-4727.61284745638	0.377002619466146
822	-6787.66059029948	0.541280748958333
823	-15995.8203126758	1.27558375690104
824	-20926.931424069	1.66881430813802
825	-15577.5520829622	1.24222903378906
826	-12288.767360612	0.979965499348958
827	-7773.61545123698	0.619905538411458
828	-8603.1336809375	0.686055317382813
829	-17186.276041862	1.37051643079427
830	-15361.7187503255	1.22501744407552
831	-18333.3767363281	1.46199176523438
832	-18049.5789927734	1.43936036627604
833	-11345.8940976367	0.904776243684896
834	-11286.6189237435	0.900049355859375
835	-10772.8602427344	0.859079764127604
836	-8757.3828124349	0.698355886067708
837	-8315.93315915365	0.663152564518229
838	-7936.00694407552	0.632855418229167
839	-4705.85937482682	0.375267892708333
840	-3091.4236108748	0.246525006966146
841	-3962.74739588542	0.316008564388021
842	-6524.61371525391	0.520304124153646
843	-5552.20920158008	0.442759904361979
844	-1905.82899286719	0.151979983528646
845	-754.62673606556	0.060177570703125
846	-2395.06944442057	0.190994373372396
847	-4389.12760438802	0.350010175651042
848	-2635.32986113711	0.210153884114583
849	-889.583333292123	0.0709396597005208
850	-416.566840277995	0.0332190462890625
851	-454.696180490234	0.0362596635416667
852	-300.93315968099	0.0239978596354167
853	-373.910590253906	0.0298174314453125
854	-2567.27430553385	0.204726818619792
855	-5543.48958354167	0.442064559960937
856	-6705.69010375651	0.534744027473958
857	-1322.31336801432	0.105447636979167
858	-1073.02951391081	0.0855685416666667
859	-1467.75173615449	0.117045593033854
860	-1513.2942708724	0.120677374153646
861	-772.521701367188	0.0616046013671875
862	-1846.64496529297	0.147260363997396
863	-4825.07812454427	0.384774970182292
864	-4245.9375002474	0.338591507291667
865	-3436.34982616732	0.27403108671875
866	-2936.32378472656	0.234156601757813
867	-2254.61371507161	0.179793757226563
868	-2113.24652780404	0.168520456705729
869	-2366.11545161654	0.188685442643229
870	-3801.69270855273	0.303165287760417
871	-5012.96006962044	0.399757581380208
872	-1799.61371527799	0.143509865690104
873	-996.31510421224	0.0794509652994792
874	-708.567708261719	0.0565046018229167
875	-700.364583337891	0.0558504451822917
876	-420.698784722656	0.0335485473958333
877	-344.409722200521	0.0274648901041667
878	-159.079861132813	0.0126857943359375
879	-382.235243009961	0.0304812793619792
880	-1167.66927089193	0.093115571875
881	-2028.4505208138	0.161758414778646
882	-1549.26649305599	0.123545972330729
883	-1595.08246527995	0.127199558463542
884	-1379.15798611543	0.109980700651042
885	-1035.38628472201	0.0825666892578125
886	-862.391493098958	0.0687712514322917
887	-1536.08072914518	0.122494475976563
888	-1967.68663199219	0.156912809570313
889	-1781.32378489128	0.142051338541667
890	-366.193576386719	0.0292020395833333
891	-126.054687480469	0.0100522079427083
892	-175.364583333333	0.0139844165364583
893	-153.368055531706	0.0122303074869792
894	-104.635416666667	0.00834413209635417
895	-40.8637152799479	0.00325866946614583
896	-58.1814236132813	0.00463966692708333
897	-199.275173632813	0.0158911621744792
898	-328.489583311654	0.0261953416015625
899	-220.481770813802	0.0175822783854167
900	-33.4809027799479	0.00266992845052083
901	-33.6328125	0.00268204244791667
902	-43.8107638867187	0.00349368131510417
903	-11.3628472200521	0.000906128190104167
904	-29.0451388867188	0.00231619928385417
905	-53.9887152799479	0.00430532018229167
906	-47.5477430533854	0.00379168606770833
907	-9.17534722005208	0.000731686393229167
908	-117.51736108724	0.009371400390625
909	-176.458333333333	0.0140716374348958
910	-115.572916647135	0.00921634108072917
911	-169.105902799479	0.0134853192057292
912	-142.309027799479	0.0113484073567708
913	-67.3567708548177	0.00537135338541667
914	-43.8411458333333	0.0034961041015625
915	-159.960937480469	0.0127560556640625
916	-264.26215281901	0.0210735369140625
917	-241.080729210286	0.0192249385416667
918	-348.146701345703	0.0277628948567708
919	-267.391493053385	0.021323085546875
920	-93.7282986328125	0.00747434596354167
921	-27.4956597200521	0.002192636328125
922	-4.70920138867187	0.000375534375
923	-9.96527777994792	0.000794679231770833
924	-3.43315972200521	0.000273776692708333
925	-91.6319444205729	0.00730717259114583
926	-93.1510416666667	0.00742831276041667
927	-97.2526041666667	0.00775539108072917
928	-33.5720486132813	0.002677196875
929	-1.30642361132813	0.000104180533854167
930	0	0
931	0	0
932	-6.62326388671875	0.000528170963541667
933	-48.7934027734375	0.00389102096354167
934	-74.4965277558594	0.0059407119140625
935	-36.7925347200521	0.00293401393229167
936	-43.5677083333333	0.00347429889322917
937	-61.7664930533854	0.00492555768229167
938	-7.50434027994792	0.0005984322265625
939	-0.0303819444661458	2.42083333333333E-06
940	-2.55208333333333	0.0002035154296875
941	-20.5078125	0.00163539173177083
942	-33.0555555533854	0.00263600924479167
943	-72.096354188151	0.005749310546875
944	-59.9131944466146	0.00477776673177083
945	-73.3420139108073	0.00584864544270833
946	-116.514756920573	0.00929144791666667
947	-109.6484375	0.00874389453125
948	-83.9149305338542	0.00669178072916667
949	-28.1336805533854	0.00224351516927083
950	-0.789930555338542	6.29928385416667E-05
951	-5.95486111132813	0.0004748693359375
952	0	0
953	0	0
954	0	0
955	-2.03559027799479	0.000162327799479167
956	-3.09895833333333	0.000247125846354167
957	0	0
958	-14.4314236132812	0.00115083125
959	-5.16493055533854	0.000411876432291667
960	-2.55208333333333	0.0002035154296875
961	-56.4192708333333	0.00449914440104167
962	-36.2456597265625	0.00289040345052083
963	-193.563368033854	0.0154356752604167
964	-82.8819444661458	0.00660940540364583
965	-59.3055555533854	0.00472931067708333
966	-38.0381944466146	0.003033348828125
967	-97.3133680338542	0.00776023665364583
968	-162.361111113281	0.01294745703125
969	-137.782118079427	0.010987409765625
970	-170.807291666667	0.0136209961588542
971	-307.0703125	0.0244872657552083
972	-450.989583292122	0.0359640795572917
973	-593.085937541667	0.0472955293619792
974	-584.578993055534	0.0466171322916667
975	-371.206597246094	0.0296018020182292
976	-281.610243098958	0.0224569572265625
977	-272.191840299479	0.0217058884114583
978	-332.712673613281	0.0265321110677083
979	-265.720486132813	0.0211898314453125
980	-219.084201367188	0.0174708294921875
981	-168.619791647135	0.0134465543619792
982	-248.129340299479	0.0197870287109375
983	-299.930555533854	0.0239179071614583
984	-363.216145831185	0.0289646049479167
985	-509.596354168815	0.0406376555338542
986	-441.996527797331	0.0352469320963542
987	-569.144965343099	0.0453863609375
988	-1150.89843753516	0.0917781848307292
989	-778.051215240625	0.0620455268880208
990	-1287.79947910156	0.102695333398438
991	-1190.94184029753	0.0949714386067708
992	-1333.58506941667	0.106346496744792
993	-2658.26822921224	0.211983112239583
994	-4474.5008683138	0.356818251041667
995	-11847.3784728581	0.9447670234375
996	-7630.72916642578	0.608511097916667
997	-8548.05121532552	0.681662776367188
998	-8425.3993051237	0.671881922395833
999	-5231.80121523242	0.417209028255208
1000	-3365.59027770814	0.268388379361979
1001	-3668.01215279492	0.292504956445313
1002	-2695.33420138672	0.214938931575521
1003	-3100.65972219401	0.247261540755208
1004	-1521.01128469616	0.121292753645833
1005	-1395.23003474154	0.111262363216146
1006	-1940.49479164538	0.154744401236979
1007	-8403.7369792513	0.670154464192708
1008	-15448.6414933138	1.23194908229167
1009	-14454.3012161654	1.15265559934896
1010	-10353.8628476563	0.825666893815104
1011	-7893.16840255859	0.629439266601563
1012	-11393.1684029036	0.908546124674479
1013	-11632.9730899089	0.92766930546875
1014	-10352.1310759701	0.825528793945312
1015	-9304.44010334636	0.741980869661458
1016	-9146.08940972005	0.729353222330729
1017	-7414.44010457682	0.591263166276042
1018	-7822.92534679036	0.623837746940104
1019	-5344.45746557292	0.42619278046875
1020	-8887.66059054037	0.708744863606771
1021	-11538.0598967643	0.920100470247396
1022	-14473.8975694466	1.15421830696615
1023	-13009.609375306	1.03744891341146
1024	-10254.0581594206	0.817707987239583
1025	-7801.90104130859	0.622161167838542
1026	-7245.51649330729	0.577792383854167
1027	-8601.34114577474	0.685912372005208
1028	-14546.3281247591	1.15999426842448
1029	-17979.7005208789	1.4337879202474
1030	-11605.3559027995	0.925466977929688
1031	-12183.6154514063	0.971580179427083
1032	-19660.0347218294	1.56778586302083
1033	-19579.7960074219	1.56138724127604
1034	-15716.5494778451	1.25331335559896
1035	-14377.3437502474	1.14651864016927
1036	-13142.317708138	1.04803171523438
1037	-13989.0017363151	1.11555037766927
1038	-12220.5295135352	0.974523884635417
1039	-17633.3463539518	1.40616797070313
1040	-17278.9713557292	1.37790840143229
1041	-14085.6467011523	1.12325731263021
1042	-15057.8689233724	1.2007869953776
1043	-15680.5468758984	1.25044233450521
1044	-12460.3342018229	0.993647065494792
1045	-12203.5460071615	0.973169538020833
1046	-17566.171874655	1.40081115436198
1047	-18459.0364588086	1.47201247682292
1048	-16941.2152780078	1.35097410507813
1049	-12336.6796870052	0.983786258984375
1050	-16915.846353737	1.34895106490885
1051	-24318.9236105469	1.93930810292969
1052	-24080.0911442708	1.92026245169271
1053	-23103.4027777995	1.84237661705729
1054	-27568.7586800781	2.19846560442708
1055	-30142.109375651	2.40367698378906
1056	-26942.981771224	2.14856313958333
1057	-19183.5850696159	1.52979147265625
1058	-20707.8776033203	1.6513459014974
1059	-23460.9071174479	1.87088573502604
1060	-27033.5199650391	2.15578309134115
1061	-31337.0920134766	2.49897065501302
1062	-31665.368925	2.52514903704427
1063	-24473.3550349154	1.95162320859375
1064	-19287.4001735677	1.53807018919271
1065	-19037.1137165365	1.51811114160156
1066	-19357.8862855859	1.54369109108073
1067	-18273.5850696615	1.45722368971354
1068	-17936.4973945508	1.43034269505208
1069	-15736.7534717708	1.25492451940104
1070	-13739.6874994141	1.09566885957031
1071	-19200.9331623307	1.53117489309896
1072	-28018.4722227214	2.23432792851563
1073	-24858.6892364583	1.98235161373698
1074	-26583.806425	2.11992076738281
1075	-27682.7821180339	2.20755838268229
1076	-30050.7812504557	2.3963940391276
1077	-32383.4765622396	2.58241439902344
1078	-31747.0052091797	2.53165910755208
1079	-30643.2291662109	2.44363868938802
1080	-35071.8836800781	2.79680093157552
1081	-29926.9748267578	2.38652111848958
1082	-25031.2586803385	1.99611313235677
1083	-28232.1788190755	2.2513699218099
1084	-32362.0269115234	2.58070390019531
1085	-24973.7152777148	1.99152434433594
1086	-15741.9184027799	1.25533639583333
1087	-27588.3246532552	2.20002588938802
1088	-26139.1970498047	2.08446547447917
1089	-28438.1987854167	2.26779894596354
1090	-32453.0512149089	2.58796261679688
1091	-20955.9157981771	1.67112566184896
1092	-26113.5850694661	2.08242305182292
1093	-28231.2673602865	2.25129723789063
1094	-29363.7239574219	2.34160478144531
1095	-31241.6623278646	2.49136063216146
1096	-25344.8914939453	2.02112372363281
1097	-20985.2039938802	1.67346124342448
1098	-23663.8585064648	1.88707005638021
1099	-20371.7925351367	1.62454485917969
1100	-15826.3802085938	1.26207178691406
1101	-17829.7048615169	1.42182654394531
1102	-23982.1701397982	1.91245375904948
1103	-23989.0668389323	1.91300373522135
1104	-26256.5624989583	2.09382476074219
1105	-28540.5555552734	2.27596136829427
1106	-31258.7369784505	2.49272224726563
1107	-30089.6397556641	2.39949280351563
1108	-33554.1840275391	2.67577225110677
1109	-30514.7743061849	2.43339508007813
1110	-28438.8368068815	2.2678498249349
1111	-21577.4088541471	1.72068651152344
1112	-22838.8671875	1.8212812750651
1113	-23103.9800339844	1.84242265032552
1114	-25172.8993044271	2.00740823808594
1115	-23426.5451391276	1.86814554518229
1116	-26590.2473962891	2.1204344015625
1117	-30921.9835063151	2.4658679031901
1118	-36357.1006953776	2.8992903266276
1119	-36393.6501727865	2.90220495800781
1120	-38232.851563151	3.04887173541667
1121	-33574.6310764323	2.67740279720052
1122	-33894.7048617188	2.70292702239583
1123	-24496.4756946615	1.95346696132813
1124	-18167.157118405	1.44873661217448
1125	-16817.196179056	1.3410842249349
1126	-22162.7473967448	1.76736422623698
1127	-22337.3524311849	1.78128807265625
1128	-20304.1927083529	1.6191541235026
1129	-22660.2213534505	1.80703519557292
1130	-24918.5720476563	1.98712695761719
1131	-25121.6753470052	2.00332339296875
1132	-25368.5286460286	2.02300866393229
1133	-29902.1527781901	2.3845416889974
1134	-30793.8020835286	2.45564609908854
1135	-24725.3732652148	1.9717203561849
1136	-21083.4592016016	1.68129658697917
1137	-18525.6033003711	1.47732083736979
1138	-18737.8211816471	1.49424411334635
1139	-17756.5755203776	1.41599485807292
1140	-14870.0781251953	1.18581165279948
1141	-13067.1831595247	1.04204012421875
1142	-20888.7717007161	1.66577126816406
1143	-22704.4574651042	1.81056279628906
1144	-19948.8758667969	1.59081944720052
1145	-20539.1362845508	1.63788965592448
1146	-20663.337673112	1.64779407285156
1147	-21752.1354160156	1.73462004908854
1148	-23672.4565974609	1.8877557093099
1149	-28736.5190970052	2.29158844472656
1150	-31097.4088548177	2.47985716542969
1151	-20776.9661458333	1.6568553546224
1152	-20273.4461809896	1.61670224726563
1153	-21347.4175348958	1.70234589589844
1154	-18123.1640612175	1.44522839414063
1155	-19103.3767355664	1.52339527402344
1156	-19478.8064231771	1.55333384550781
1157	-22639.5920143229	1.80539011269531
1158	-27803.6111107422	2.2171938686849
1159	-22271.3324659505	1.77602332265625
1160	-20271.1371516927	1.61651811419271
1161	-20394.1840279948	1.62633046458333
1162	-17013.0989576172	1.35670645585938
1163	-19692.1180552083	1.57034434270833
1164	-11103.5677082617	0.885451970377604
1165	-10375.0390633659	0.827355587044271
1166	-7927.80381971159	0.632201261588542
1167	-7161.78385391276	0.571115140104167
1168	-6681.65798611113	0.532827590559896
1169	-6164.10156232422	0.491555148632812
1170	-8795.23871527995	0.701374698242188
1171	-8065.76822920573	0.643203208072917
1172	-8209.59635383464	0.654672755664063
1173	-9787.20920161458	0.780479202734375
1174	-8468.0555560026	0.675283537109375
1175	-7548.6675348763	0.601967108007813
1176	-8048.38975705078	0.641817365039063
1177	-9891.75347246094	0.788816066276042
1178	-15656.2413192708	1.24850409264323
1179	-14112.5651039063	1.12540391582031
1180	-18128.3897570313	1.44564511621094
1181	-20855.0173622396	1.6630795344401
1182	-17173.6371538411	1.36950854492188
1183	-12715.2387153451	1.01397437923177
1184	-6314.85677039714	0.503577094856771
1185	-5801.43229160593	0.462634153971354
1186	-4727.61284745638	0.377002619466146
1187	-6787.66059029948	0.541280748958333
1188	-15995.8203126758	1.27558375690104
1189	-20926.931424069	1.66881430813802
1190	-15577.5520829622	1.24222903378906
1191	-12288.767360612	0.979965499348958
1192	-7773.61545123698	0.619905538411458
1193	-8603.1336809375	0.686055317382813
1194	-17186.276041862	1.37051643079427
1195	-15361.7187503255	1.22501744407552
1196	-18333.3767363281	1.46199176523438
1197	-18049.5789927734	1.43936036627604
1198	-11345.8940976367	0.904776243684896
1199	-11286.6189237435	0.900049355859375
1200	-10772.8602427344	0.859079764127604
1201	-8757.3828124349	0.698355886067708
1202	-8315.93315915365	0.663152564518229
1203	-7936.00694407552	0.632855418229167
1204	-4705.85937482682	0.375267892708333
1205	-3091.4236108748	0.246525006966146
1206	-3962.74739588542	0.316008564388021
1207	-6524.61371525391	0.520304124153646
1208	-5552.20920158008	0.442759904361979
1209	-1905.82899286719	0.151979983528646
1210	-754.62673606556	0.060177570703125
1211	-2395.06944442057	0.190994373372396
1212	-4389.12760438802	0.350010175651042
1213	-2635.32986113711	0.210153884114583
1214	-889.583333292123	0.0709396597005208
1215	-416.566840277995	0.0332190462890625
1216	-454.696180490234	0.0362596635416667
1217	-300.93315968099	0.0239978596354167
1218	-373.910590253906	0.0298174314453125
1219	-2567.27430553385	0.204726818619792
1220	-5543.48958354167	0.442064559960937
1221	-6705.69010375651	0.534744027473958
1222	-1322.31336801432	0.105447636979167
1223	-1073.02951391081	0.0855685416666667
1224	-1467.75173615449	0.117045593033854
